Date,Open,High,Low,T-Open
2012-04-25,69.5,70,68.75,"7,512.26"
2012-04-28,70,70.5,69,"7,541.50"
2012-04-29,70.25,73.25,69.25,"7,607.59"
2012-04-30,72.25,72.25,69.5,"7,555.77"
2012-05-01,69.5,70.25,69,"7,558.47"
2012-05-02,70,71,69.5,"7,545.28"
2012-05-05,69,69.75,67.75,"7,545.91"
2012-05-06,69,69.25,68.25,"7,450.26"
2012-05-07,68.25,68.5,67.5,"7,377.61"
2012-05-08,68.5,68.75,68,"7,358.87"
2012-05-09,67.75,68,64.5,"7,371.42"
2012-05-12,65.5,65.75,63,"7,221.50"
2012-05-13,65.5,66.5,64,"7,233.20"
2012-05-14,63.75,63.75,61,"7,182.95"
2012-05-15,61.75,62.75,60.75,"7,067.99"
2012-05-16,61.5,61.5,60.25,"7,104.24"
2012-05-19,58.75,60.25,58.75,"7,099.90"
2012-05-20,59.5,65,59.25,"6,966.37"
2012-05-21,61.75,62.5,61.5,"6,979.55"
2012-05-22,62.5,65,62,"7,029.35"
2012-05-23,62,63,61.5,"7,103.52"
2012-05-26,62.25,62.5,61.5,"7,061.43"
2012-05-27,61.5,61.5,60,"7,013.91"
2012-05-28,61.5,62.5,61.25,"6,989.45"
2012-05-29,62,62,61,"7,056.68"
2012-05-30,61.5,61.75,59,"7,033.11"
2012-06-02,55,57,54.25,"6,975.27"
2012-06-03,55.25,55.5,53,"6,681.18"
2012-06-04,54.25,55,54,"6,747.69"
2012-06-05,54.75,57.25,54.25,"6,770.19"
2012-06-06,55,55.75,51.25,"6,736.82"
2012-06-09,53.75,53.75,51.25,"6,661.26"
2012-06-10,52.5,53.25,52,"6,663.03"
2012-06-11,53.75,54,53,"6,749.49"
2012-06-12,52.25,53.75,51.75,"6,790.96"
2012-06-13,53.75,54.5,52.25,"6,727.83"
2012-06-16,53.25,54,50.5,"6,744.53"
2012-06-17,52.75,53.25,52.5,"6,724.46"
2012-06-18,53.25,58,53,"6,754.23"
2012-06-19,56.75,56.75,55,"6,807.51"
2012-06-20,55.75,57.25,55.25,"6,817.26"
2012-06-23,55.25,55.75,54.25,"6,838.05"
2012-06-24,54.25,55,53.75,"6,774.26"
2012-06-25,54,55.5,53.25,"6,745.36"
2012-06-26,54,57,53.75,"6,683.34"
2012-06-27,56.25,56.5,51.75,"6,696.84"
2012-06-30,54.5,55,53.25,"6,585.63"
2012-07-01,53.75,55.5,53.25,"6,709.91"
2012-07-02,54.5,55.75,54.25,"6,705.49"
2012-07-03,55,56.5,54.75,"6,742.04"
2012-07-04,55.5,56.75,55.5,"6,885.27"
2012-07-07,55.5,57.5,55.5,"6,834.77"
2012-07-08,57.75,59.75,57.25,"6,859.59"
2012-07-09,57.75,57.75,55.5,"6,855.12"
2012-07-10,54.25,55.5,54,"6,756.99"
2012-07-11,55,55,53,"6,713.18"
2012-07-14,54.25,54.75,53.5,"6,659.58"
2012-07-15,54.5,55,53.75,"6,701.09"
2012-07-16,53,53.25,51,"6,662.96"
2012-07-17,51.25,52,50,"6,641.30"
2012-07-18,50.75,53.25,50.75,"6,588.81"
2012-07-21,52.5,52.75,52,"6,628.26"
2012-07-22,52.75,53.5,52.25,"6,665.65"
2012-07-23,53,53.75,52.5,"6,700.36"
2012-07-24,52.5,52.75,52,"6,641.10"
2012-07-25,52.25,53.25,52,"6,670.02"
2012-07-28,53.25,55,53,"6,666.80"
2012-07-29,53.75,56.5,53.5,"6,767.81"
2012-07-30,56,57,55.5,"6,769.12"
2012-07-31,55.75,59,55.75,"6,822.86"
2012-08-01,59.5,61.25,58,"6,878.19"
2012-08-04,59.25,60.25,58.75,"6,892.62"
2012-08-05,59.25,65.25,58.5,"6,951.66"
2012-08-06,66,66.5,60.5,"6,945.11"
2012-08-07,62.25,63.5,61.75,"6,943.64"
2012-08-08,62.25,62.25,60.75,"6,961.34"
2012-08-11,62.25,62.25,60.5,"6,953.59"
2012-08-12,61.25,64.5,60.75,"6,987.06"
2012-08-13,62.25,63.25,61.25,"6,995.40"
2012-08-14,61.75,62,60.75,"6,965.66"
2012-08-15,61,65.75,61,"6,968.31"
2012-08-25,64.5,65.5,63.75,"7,003.79"
2012-08-26,64.5,64.75,63.5,"7,104.48"
2012-08-27,64,67,63.75,"7,104.19"
2012-08-28,65.75,66.5,64.5,"7,137.86"
2012-08-29,64.75,68,64.5,"7,137.81"
2012-09-01,67.25,68.75,66.5,"7,139.01"
2012-09-02,66.5,66.5,64.5,"7,134.24"
2012-09-03,64.5,65,63.75,"7,090.90"
2012-09-04,64,65.5,63,"7,078.53"
2012-09-05,64.5,68,64.25,"7,050.34"
2012-09-08,68,69.75,67,"7,049.51"
2012-09-09,69.25,70.25,68.5,"7,105.04"
2012-09-10,69.75,75.75,69.5,"7,095.76"
2012-09-11,76.5,78,73.5,"7,072.60"
2012-09-12,75.5,78,74.75,"7,086.80"
2012-09-15,79,79.25,75.75,"7,104.50"
2012-09-16,75.5,75.5,73,"7,165.86"
2012-09-17,73.25,77,72.5,"7,155.77"
2012-09-18,74,75.25,73.5,"7,149.42"
2012-09-19,74.5,75,72.75,"7,105.52"
2012-09-22,73.5,76.75,73.5,"7,057.01"
2012-09-24,76.25,77.75,75,"7,031.04"
2012-09-25,76.5,76.75,73,"6,960.65"
2012-09-26,73,73.5,70,"6,977.67"
2012-09-29,71,72,67.5,"6,878.72"
2012-09-30,68,68.5,65,"6,807.71"
2012-10-01,67.75,68.75,67.75,"6,839.83"
2012-10-02,68.75,71.25,68.25,"6,882.12"
2012-10-03,70.25,71.25,69.5,"6,896.10"
2012-10-06,71,72.5,69.5,"6,887.29"
2012-10-07,68.75,69.25,66.75,"6,887.97"
2012-10-08,67,68,66,"6,863.29"
2012-10-09,66,66.5,64.25,"6,807.30"
2012-10-10,64.25,64.5,63,"6,790.20"
2012-10-13,63,63,58.5,"6,796.99"
2012-10-14,59,61.25,58.75,"6,682.47"
2012-10-15,60.5,61.5,60.5,"6,661.99"
2012-10-16,61,62,61,"6,723.21"
2012-10-17,62,62.75,61.75,"6,749.00"
2012-10-20,62,64.25,61,"6,811.19"
2012-10-21,64.5,68.5,64,"6,809.30"
2012-10-22,65.75,66.25,63.25,"6,780.00"
2012-10-23,63.5,64,62.75,"6,741.82"
2012-10-24,63,64.5,62.25,"6,729.48"
2012-11-03,65,70.25,64.75,"6,791.04"
2012-11-04,69,69.25,66.75,"6,800.82"
2012-11-05,67.75,69,67.5,"6,813.62"
2012-11-06,68.75,70.5,68.25,"6,843.15"
2012-11-07,69.25,69.5,68,"6,919.17"
2012-11-10,68.5,72.25,68.25,"6,941.97"
2012-11-11,71.5,71.75,67,"6,919.06"
2012-11-12,62.75,64,61,"6,884.29"
2012-11-13,61.5,61.75,60.25,"6,829.53"
2012-11-14,60.5,61,59,"6,828.19"
2012-11-17,58.75,62,58.25,"6,816.93"
2012-11-18,61.25,62,59.75,"6,792.53"
2012-11-19,60,61.25,57.5,"6,765.29"
2012-11-20,60,60.25,58.5,"6,666.46"
2012-11-21,60,60.75,59,"6,662.04"
2012-11-24,60.75,62.25,60.5,"6,609.70"
2012-11-25,61.25,61.25,57.5,"6,665.49"
2012-11-26,59.25,59.5,56,"6,524.15"
2012-11-27,58.75,59.25,57,"6,547.19"
2012-11-28,57.75,59.5,57.75,"6,462.46"
2012-12-01,60.25,61.5,60,"6,533.14"
2012-12-02,61.25,61.5,60.5,"6,688.18"
2012-12-03,60.5,61.25,59.75,"6,708.01"
2012-12-04,59.75,60.25,59.25,"6,732.46"
2012-12-05,59.5,60.25,59.25,"6,716.46"
2012-12-08,60.5,61.25,60,"6,729.19"
2012-12-09,60.5,60.5,59.5,"6,778.09"
2012-12-10,59.75,59.75,58.75,"6,783.55"
2012-12-11,58.5,59.5,58.5,"6,741.93"
2012-12-12,59,59.75,58.5,"6,763.12"
2012-12-15,59.75,60,59.25,"6,769.96"
2012-12-16,59.75,61,59.5,"6,823.80"
2012-12-17,60.75,60.75,60,"6,851.16"
2012-12-18,60.5,60.5,59,"6,870.98"
2012-12-19,59.25,59.5,58.5,"6,858.24"
2012-12-22,59,59,58.25,"6,888.59"
2012-12-23,58.75,59,58.5,"6,902.53"
2012-12-24,58.5,59.25,58.5,"6,890.31"
2012-12-25,59,59.25,58,"6,881.16"
2012-12-26,58.25,58.25,57.25,"6,864.65"
2012-12-29,57.5,59,57.5,"6,866.71"
2012-12-30,59,61,58.75,"6,877.06"
2012-12-31,60.5,62,59.25,"6,824.11"
2013-01-01,61.75,62.25,60.5,"6,801.22"
2013-01-02,60.75,61.5,59.75,"6,860.01"
2013-01-05,61.5,64,61,"6,940.31"
2013-01-06,62.75,64,62.25,"7,010.00"
2013-01-07,63,63.5,62.25,"7,004.71"
2013-01-08,62.75,62.75,61,"7,014.90"
2013-01-09,61.25,64.5,61,"7,053.29"
2013-01-12,64.25,65,64,"7,126.71"
2013-01-13,64,64,62,"7,165.76"
2013-01-14,62.5,62.75,61.75,"7,115.19"
2013-01-15,62,62.25,61,"7,087.83"
2013-01-16,61.5,61.75,60.5,"7,018.52"
2013-01-19,61,61.75,60.75,"7,036.33"
2013-01-20,61.25,61.25,60,"7,050.38"
2013-01-21,60.25,61,59.75,"7,054.36"
2013-01-22,60.5,66,60.5,"6,984.80"
2013-01-23,63.75,64.5,62.25,"7,007.61"
2013-01-26,63.25,65,63,"6,998.34"
2013-01-27,65.25,67.25,65.25,"7,025.31"
2013-01-28,65.75,65.75,64.25,"7,023.74"
2013-01-29,65.5,66.5,65.25,"7,021.58"
2013-01-30,66,66.5,65,"7,027.81"
2013-02-02,67,68,66.75,"7,043.55"
2013-02-03,66.5,66.75,64.5,"7,057.59"
2013-02-04,64.5,66.75,64.25,"7,033.30"
2013-02-05,64.75,65.75,63.25,"7,025.44"
2013-02-06,65.25,65.75,62,"6,992.52"
2013-02-09,62.5,63.25,62.25,"6,982.89"
2013-02-10,62.75,63.5,61.75,"6,996.72"
2013-02-11,62,62.5,61.25,"7,012.17"
2013-02-12,62.5,62.75,61.5,"7,030.78"
2013-02-13,62.75,64.25,62.25,"7,057.19"
2013-02-16,63,63,62,"7,062.98"
2013-02-17,62.25,64.25,61.75,"7,087.82"
2013-02-18,64,65.25,63.5,"7,071.57"
2013-02-19,63.75,64,61.75,"7,056.53"
2013-02-20,63,63.75,62.25,"7,025.74"
2013-02-23,62.5,62.75,62,"7,034.74"
2013-02-24,62.25,62.75,61.75,"7,041.58"
2013-02-25,62,62.25,61.5,"7,043.65"
2013-02-26,61.25,61.5,60.25,"7,042.42"
2013-02-27,60.5,61.5,60.5,"6,988.19"
2013-03-02,61.25,61.5,60.75,"6,998.33"
2013-03-03,60.75,60.75,59.5,"7,016.61"
2013-03-04,59.75,60,58.75,"6,988.07"
2013-03-05,59,60.25,59,"6,956.53"
2013-03-06,60.25,60.5,59.5,"6,953.21"
2013-03-09,60.25,60.75,59.5,"6,999.53"
2013-03-10,59.75,62.25,59.5,"7,027.49"
2013-03-11,61.25,62,61,"7,019.20"
2013-03-12,61,61,59,"7,030.93"
2013-03-13,59.75,61.25,59.25,"6,986.45"
2013-03-16,61.5,62,60.5,"7,025.37"
2013-03-17,61.5,61.75,60.75,"7,051.18"
2013-03-18,61,61,60,"7,081.88"
2013-03-19,60.5,61,60.25,"7,057.44"
2013-03-20,60.75,61.25,60.25,"7,076.04"
2013-03-23,60.5,61.25,60.5,"7,095.48"
2013-03-24,60.75,62,60.75,"7,094.18"
2013-03-25,62.5,63,61.5,"7,137.54"
2013-03-26,61.5,62,61,"7,162.89"
2013-03-27,61.5,62,61.25,"7,176.88"
2013-03-30,61.75,62,60.25,"7,177.62"
2013-03-31,61,62.25,60.75,"7,157.64"
2013-04-01,62,62,61.25,"7,125.73"
2013-04-02,61.25,61.25,60,"7,157.85"
2013-04-03,60.25,60.5,60,"7,172.57"
2013-04-06,60.25,60.25,59.25,"7,178.10"
2013-04-07,60,64,60,"7,113.74"
2013-04-08,62,63.75,61.75,"7,112.59"
2013-04-09,63.5,65.75,63.25,"7,160.52"
2013-04-10,63.75,65,62.25,"7,190.31"
2013-04-13,64.75,68.5,64.75,"7,237.82"
2013-04-14,66.75,68.5,65.5,"7,223.02"
2013-04-15,66.5,69.5,64.75,"7,195.67"
2013-04-16,67.75,72,67.25,"7,145.60"
2013-04-17,71,71.25,63.5,"7,096.99"
2013-04-20,65.25,66.5,64,"7,060.04"
2013-04-21,64.5,65.5,63.5,"7,098.48"
2013-04-22,65.25,66.5,64.5,"7,099.17"
2013-04-23,65.5,65.75,64.5,"7,124.30"
2013-04-24,64.5,64.75,63.5,"7,124.40"
2013-04-27,63.75,64.5,63.75,"7,127.68"
2013-04-28,64.25,64.5,63.5,"7,149.97"
2013-04-29,64,65.25,63.5,"7,140.83"
2013-04-30,64.5,64.75,63.75,"7,166.93"
2013-05-01,64,64,63.5,"7,179.80"
2013-05-04,64.25,64.5,63.75,"7,175.36"
2013-05-05,64.25,66,64,"7,214.06"
2013-05-06,65,65.5,63.75,"7,205.75"
2013-05-07,63.75,64.25,63.25,"7,189.13"
2013-05-08,63.25,63.75,63.25,"7,182.48"
2013-05-11,63.75,64,63.5,"7,206.27"
2013-05-12,63.75,66.25,63.5,"7,220.42"
2013-05-13,64,64.5,59.25,"7,195.17"
2013-05-14,62.5,62.75,59.75,"7,158.75"
2013-05-15,60.5,61,58.5,"7,139.30"
2013-05-18,60.75,62,60.5,"7,147.42"
2013-05-19,61.5,62,61.25,"7,229.02"
2013-05-20,61.75,62.5,61.5,"7,300.34"
2013-05-21,62.25,62.5,61.5,"7,307.36"
2013-05-22,61.75,62,61.25,"7,355.27"
2013-05-25,61.25,61.75,60.5,"7,363.13"
2013-05-26,61.25,62,61,"7,333.83"
2013-05-27,61.5,62.5,61.5,"7,319.82"
2013-05-28,62,62.5,62,"7,326.93"
2013-05-29,62.25,62.5,61.5,"7,378.00"
2013-06-01,61.75,62.25,61.5,"7,404.12"
2013-06-02,61.75,62.25,61.5,"7,435.19"
2013-06-03,61.75,62,61.5,"7,472.14"
2013-06-04,62,64.25,61.75,"7,557.24"
2013-06-05,63.5,64,62.25,"7,576.63"
2013-06-08,62.75,64.25,62.5,"7,613.35"
2013-06-09,64.25,64.75,62.75,"7,645.65"
2013-06-10,63.5,64,62.5,"7,642.24"
2013-06-11,63.25,63.25,61.75,"7,635.75"
2013-06-12,62.25,62.75,62,"7,583.28"
2013-06-15,61.75,62,56.5,"7,623.89"
2013-06-16,56.5,58.5,56.25,"7,294.38"
2013-06-17,58.5,59.5,58.25,"7,330.48"
2013-06-18,59.75,60,59.25,"7,463.37"
2013-06-19,59.5,60.5,59.25,"7,526.29"
2013-06-22,58.75,60.25,58.5,"7,526.26"
2013-06-23,60,62,60,"7,527.36"
2013-06-24,61,61,60,"7,561.50"
2013-06-25,60.5,60.75,60.25,"7,500.69"
2013-06-26,60.5,60.5,59.25,"7,517.36"
2013-06-30,59,59.75,58,"7,504.38"
2013-07-01,59.5,60.5,59.5,"7,496.57"
2013-07-02,60.25,60.75,60,"7,567.43"
2013-07-03,59.75,60.5,59.5,"7,620.83"
2013-07-04,60,60.5,60,"7,586.31"
2013-07-07,60.5,60.5,60,"7,668.58"
2013-07-08,60,60.5,60,"7,717.26"
2013-07-09,60,60.5,60,"7,695.25"
2013-07-10,60.5,60.5,60,"7,708.52"
2013-07-11,60.25,61.75,60,"7,706.01"
2013-07-14,61,61.75,61,"7,690.38"
2013-07-15,61.25,61.5,60.5,"7,744.16"
2013-07-16,60.75,60.75,60.5,"7,699.02"
2013-07-17,60.5,60.75,60.25,"7,703.25"
2013-07-18,60.75,60.75,60,"7,699.25"
2013-07-21,60,60.5,59.75,"7,667.07"
2013-07-22,60,61.25,60,"7,740.46"
2013-07-23,60.5,61.75,60.5,"7,806.03"
2013-07-24,61.5,62.75,61,"7,800.92"
2013-07-25,62.25,62.5,60.75,"7,774.51"
2013-07-28,60.75,61.25,60.75,"7,770.45"
2013-07-29,61,61,60.5,"7,763.14"
2013-07-30,60.5,60.75,60.25,"7,793.98"
2013-07-31,60.5,61.5,60.5,"7,863.83"
2013-08-01,60.75,61,60.5,"7,915.11"
2013-08-04,60.5,62.25,60.5,"7,910.66"
2013-08-05,61.75,62,60.5,"7,972.11"
2013-08-13,61.25,61.5,61,"8,072.30"
2013-08-14,61,61.25,60.75,"8,114.75"
2013-08-15,61,61.5,60.75,"8,085.50"
2013-08-18,61.25,61.5,61,"8,131.16"
2013-08-19,61.25,62,61,"8,156.77"
2013-08-20,61.5,62,61,"8,203.20"
2013-08-21,61.5,62,61.5,"8,179.90"
2013-08-22,61.75,62,61.5,"8,214.85"
2013-08-25,61.5,61.75,61,"8,192.39"
2013-08-26,61,61.25,60,"8,129.87"
2013-08-27,59.75,59.75,56,"8,054.65"
2013-08-28,54.5,56.75,54.5,"7,722.70"
2013-08-29,57,58,56,"7,751.32"
2013-09-01,57.25,57.75,56.75,"7,766.52"
2013-09-02,57.5,58,57,"7,878.74"
2013-09-03,57.75,57.75,55.75,"7,933.95"
2013-09-04,55.5,56,54.5,"7,831.76"
2013-09-05,55,55.75,54.25,"7,662.96"
